"Marca temporal","Edad","Género","Nivel de estudios alcanzado","Situación respecto a su club  ","Frecuencia con la que sigue a su club  ","Años siguiendo a su club  ","Motivos que le llevaron a seguir a su club  ","Me siento emocionalmente unido/a a mi club de fútbol  ","Seguir a mi club forma parte importante de mi identidad personal ","Me siento orgulloso/a de pertenecer a la afición de mi club ","Mi vínculo con el club es fuerte a nivel emocional ","Siento que los valores del club representan mi forma de entender el fútbol ","Ser aficionado/a de este club es algo estable en mi vida ","Mi relación con el club va más allá de los resultados deportivos ","Estoy satisfecho/a con el rendimiento deportivo reciente de mi club ","Considero que el club tiene un proyecto deportivo bien definido ","Confío en las decisiones deportivas que toma la directiva del club ","La planificación deportiva del club es adecuada ","La gestión deportiva del club es coherente con sus objetivos ","Los fichajes realizados en las últimas temporadas han sido acertados ","La dirección deportiva transmite estabilidad al club ","Estoy satisfecho/a con la forma en que el club gestiona el ámbito deportivo ","Tengo intención de seguir apoyando a mi club durante los próximos años ","Seguiré siendo aficionado/a de este club independientemente de los resultados ","Continuaré siguiendo los partidos de mi club con regularidad ","Me considero un/a aficionado/a fiel a mi club ","Recomendaría mi club a otras personas interesadas en el fútbol ","Indica cualquier observación que desee realizar"
"2026/03/10 5:27:17 p. m. CET","21","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Regularmente","Entre 5 y 10 años","Éxitos deportivos del club","4","2","3","3","3","4","5","3","3","2","2","2","2","2","1","5","4","5","5","1",""
"2026/03/10 7:38:36 p. m. CET","24","Hombre","Formación profesional","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Éxitos deportivos del club","5","5","4","4","4","5","5","3","3","4","3","3","4","3","5","5","5","4","5","5",""
"2026/03/10 11:36:55 p. m. CET","36","Mujer","Educación secundaria","No socio/a, pero simpatizante","Ocasionalmente","Menos de 5 años","Tradición familiar","5","2","2","2","2","4","2","4","4","2","2","4","3","3","3","2","5","2","2","3",""
"2026/03/11 8:37:19 a. m. CET","27","Mujer","Formación profesional","No socio/a, pero simpatizante","Ocasionalmente","Menos de 5 años","Influencia del entorno social (amigos, compañeros, etc.)","4","1","2","1","2","1","1","1","1","1","2","2","1","2","2","4","4","3","1","1",""
"2026/03/11 9:59:14 a. m. CET","51","Hombre","Formación profesional","No socio/a, pero simpatizante","Regularmente","Más de 20 años","Identificación con los valores o la historia del club","5","4","5","4","5","5","5","3","4","3","4","4","4","4","4","5","5","5","5","5",""
"2026/03/11 10:19:20 a. m. CET","24","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Tradición familiar","3","2","2","2","5","3","5","1","1","2","2","1","1","1","4","5","5","5","5","5",""
"2026/03/11 11:22:28 a. m. CET","24","Hombre","Estudios de posgrado","No socio/a, pero simpatizante","Siempre que juega","Entre 11 y 20 años","Influencia del entorno social (amigos, compañeros, etc.)","5","4","5","5","4","5","5","4","3","2","2","5","2","3","3","5","5","5","5","5",""
"2026/03/11 11:24:44 a. m. CET","24","Hombre","Estudios de posgrado","No socio/a, pero simpatizante","Siempre que juega","Entre 11 y 20 años","Influencia del entorno social (amigos, compañeros, etc.)","5","5","4","4","5","5","5","4","2","2","2","4","2","3","2","5","5","4","5","5",""
"2026/03/11 1:21:09 p. m. CET","23","Mujer","Formación profesional","No socio/a, pero simpatizante","Regularmente","Entre 11 y 20 años","Tradición familiar","4","1","5","4","3","4","5","2","1","2","2","2","3","1","1","5","5","4","5","5",""
"2026/03/11 1:45:58 p. m. CET","24","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Ocasionalmente","Entre 11 y 20 años","Influencia del entorno social (amigos, compañeros, etc.)","4","3","4","3","4","3","4","4","4","4","5","4","5","4","4","5","5","4","4","4","Al principio si fue por influencia social, después fue por los valores"
"2026/03/11 2:54:48 p. m. CET","31","Hombre","Estudios universitarios","Socio/a o abonado/a","Siempre que juega","Más de 20 años","Tradición familiar","5","5","4","5","5","5","5","2","2","3","3","3","1","3","2","5","5","3","5","5",""
"2026/03/11 2:56:13 p. m. CET","29","Mujer","Formación profesional","No socio/a, pero simpatizante","Ocasionalmente","Menos de 5 años","Tradición familiar","5","2","2","2","2","3","1","4","4","2","1","3","4","3","3","2","5","2","3","3",""
"2026/03/11 3:26:33 p. m. CET","54","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Regularmente","Más de 20 años","Identificación con los valores o la historia del club","4","2","2","2","2","2","4","4","4","3","3","3","2","3","3","4","3","4","3","3",""
"2026/03/11 4:50:12 p. m. CET","27","Hombre","Estudios universitarios","Socio/a o abonado/a","Siempre que juega","Más de 20 años","Identificación con los valores o la historia del club","5","4","4","4","3","4","5","2","2","2","3","3","3","3","3","5","5","5","5","5",""
"2026/03/11 8:08:10 p. m. CET","52","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Ocasionalmente","Más de 20 años","Tradición familiar","4","4","4","3","3","3","4","4","5","4","3","4","5","4","4","5","5","4","5","4",""
"2026/03/11 8:19:29 p. m. CET","25","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Regularmente","Entre 11 y 20 años","Identificación con los valores o la historia del club","5","4","4","5","4","5","5","4","4","4","3","4","1","3","3","5","5","4","5","5",""
"2026/03/11 8:39:16 p. m. CET","53","Hombre","Educación secundaria","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Influencia del entorno social (amigos, compañeros, etc.)","5","3","5","4","5","4","3","3","2","3","3","2","2","3","3","5","5","5","5","5",""
"2026/03/11 8:45:32 p. m. CET","54","Hombre","Educación secundaria","No socio/a, pero simpatizante","Regularmente","Más de 20 años","Tradición familiar","5","3","5","4","5","4","4","3","2","3","2","3","2","3","3","5","5","4","4","4",""
"2026/03/11 9:19:32 p. m. CET","24","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Tradición familiar","4","4","3","3","4","3","3","2","1","4","3","3","3","4","3","5","5","4","5","5",""
"2026/03/11 9:22:12 p. m. CET","26","Hombre","Estudios de posgrado","No socio/a, pero simpatizante","Siempre que juega","Entre 11 y 20 años","Tradición familiar","5","5","4","5","5","5","5","3","2","2","3","2","4","3","3","5","5","5","5","5",""
"2026/03/11 9:35:32 p. m. CET","51","Mujer","Estudios universitarios","No socio/a, pero simpatizante","Ocasionalmente","Más de 20 años","Tradición familiar","2","1","2","1","1","2","1","2","2","2","1","2","2","1","2","5","4","5","5","5",""
"2026/03/11 10:14:06 p. m. CET","24","Hombre","Formación profesional","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Tradición familiar","5","4","5","5","5","5","5","5","5","5","5","5","5","5","4","4","4","4","5","5",""
"2026/03/11 11:42:55 p. m. CET","24","Hombre","Educación secundaria","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Tradición familiar","2","2","2","2","2","4","2","1","1","1","1","1","1","1","1","3","2","4","2","2",""
"2026/03/12 9:10:37 a. m. CET","27","Hombre","Formación profesional","No socio/a, pero simpatizante","Ocasionalmente","Entre 11 y 20 años","Influencia del entorno social (amigos, compañeros, etc.)","1","1","2","1","2","1","3","1","2","2","2","3","2","4","4","1","3","1","2","4",""
"2026/03/12 11:15:49 a. m. CET","26","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Ocasionalmente","Entre 11 y 20 años","Tradición familiar","2","3","2","2","1","5","5","3","2","2","2","2","3","2","2","5","4","5","5","5",""
"2026/03/12 11:29:22 a. m. CET","55","Hombre","Educación secundaria","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Identificación con los valores o la historia del club","5","4","5","5","4","5","5","3","3","4","3","3","3","4","4","5","5","5","5","5",""
"2026/03/12 2:01:28 p. m. CET","18","Mujer","Formación profesional","Ni socio/a ni simpatizante de ningún club","Ocasionalmente","Menos de 5 años","Tradición familiar","1","1","1","2","1","1","3","1","1","1","1","2","2","2","3","4","5","4","4","4",""
"2026/03/12 2:03:41 p. m. CET","25","Hombre","Estudios de posgrado","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Influencia del entorno social (amigos, compañeros, etc.)","5","4","5","5","4","5","5","4","3","2","2","5","2","3","5","5","5","5","5","5",""
"2026/03/12 5:38:50 p. m. CET","26","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Ocasionalmente","Entre 11 y 20 años","Tradición familiar","2","3","2","2","1","5","5","2","2","3","3","3","3","3","3","5","5","4","3","3",""
"2026/03/12 6:41:25 p. m. CET","25","Hombre","Formación profesional","No socio/a, pero simpatizante","Siempre que juega","Entre 11 y 20 años","Tradición familiar","5","4","5","5","5","5","5","5","5","4","3","5","4","4","4","5","5","5","5","5",""
"2026/03/12 6:42:44 p. m. CET","20","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Regularmente","Entre 5 y 10 años","Por las risas","4","2","3","3","3","4","5","3","3","3","3","3","3","3","3","5","5","5","4","3",""
"2026/03/12 7:47:29 p. m. CET","26","Hombre","Formación profesional","No socio/a, pero simpatizante","Regularmente","Entre 11 y 20 años","Tradición familiar","2","1","2","1","2","1","2","2","3","2","2","3","2","4","4","1","4","1","2","4",""
"2026/03/12 11:05:14 p. m. CET","53","Hombre","Educación secundaria","Socio/a o abonado/a","Regularmente","Menos de 5 años","Vinculación geográfica (ciudad o región)","4","2","3","3","2","2","2","2","3","3","2","3","4","3","2","3","2","2","2","4",""
"2026/03/13 10:50:36 a. m. CET","23","Hombre","Formación profesional","No socio/a, pero simpatizante","Regularmente","Más de 20 años","Tradición familiar","3","2","2","2","5","2","5","1","1","3","1","1","1","1","3","5","5","5","5","5",""
"2026/03/13 11:56:27 a. m. CET","55","Hombre","Educación secundaria","No socio/a, pero simpatizante","Regularmente","Más de 20 años","Identificación con los valores o la historia del club","5","4","4","5","5","4","4","4","4","4","2","2","2","4","4","4","4","4","5","5",""
"2026/03/13 12:27:17 p. m. CET","23","Mujer","Formación profesional","No socio/a, pero simpatizante","Regularmente","Entre 11 y 20 años","Tradición familiar","4","1","5","4","3","4","5","2","1","2","2","2","3","1","1","5","5","4","5","5",""
"2026/03/13 5:48:04 p. m. CET","27","Mujer","Formación profesional","No socio/a, pero simpatizante","Ocasionalmente","Menos de 5 años","Influencia del entorno social (amigos, compañeros, etc.)","4","1","2","1","1","1","1","1","1","1","2","2","2","2","2","4","4","3","1","1",""
"2026/03/13 6:30:03 p. m. CET","27","Mujer","Estudios de posgrado","No socio/a, pero simpatizante","Siempre que juega","Entre 11 y 20 años","Influencia del entorno social (amigos, compañeros, etc.)","5","4","4","5","4","4","5","2","3","2","3","3","3","4","5","5","5","5","5","4",""
"2026/03/13 6:34:12 p. m. CET","31","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Siempre que juega","Entre 11 y 20 años","Éxitos deportivos del club","5","4","4","4","4","4","4","1","2","2","2","3","1","3","3","5","5","5","5","4",""
"2026/03/13 6:42:09 p. m. CET","50","Hombre","Educación secundaria","No socio/a, pero simpatizante","Regularmente","Más de 20 años","Identificación con los valores o la historia del club","4","4","5","4","4","5","5","4","4","4","4","4","4","4","4","5","4","3","5","5",""
"2026/03/13 8:23:51 p. m. CET","25","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Siempre que juega","Entre 11 y 20 años","Tradición familiar","5","4","5","5","5","5","5","5","5","4","4","4","4","3","4","5","5","5","5","4",""
"2026/03/13 10:14:30 p. m. CET","","Mujer","Formación profesional","No socio/a, pero simpatizante","Ocasionalmente","Menos de 5 años","Tradición familiar","5","2","2","2","2","3","1","4","4","2","2","3","3","3","3","2","5","2","3","3",""
"2026/03/14 10:02:35 a. m. CET","54","Hombre","Formación profesional","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Tradición familiar","4","1","1","4","1","1","4","1","2","1","1","1","1","4","1","5","4","5","5","5",""
"2026/03/14 1:09:43 p. m. CET","23","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Siempre que juega","Entre 11 y 20 años","Tradición familiar","5","5","4","5","5","5","5","1","4","3","2","4","2","4","3","5","5","5","5","5",""
"2026/03/14 1:55:26 p. m. CET","26","Hombre","Estudios universitarios","Socio/a o abonado/a","Siempre que juega","Más de 20 años","Tradición familiar","5","5","5","5","4","5","5","2","2","2","2","3","1","2","2","5","5","5","5","5",""
"2026/03/14 3:21:14 p. m. CET","54","Mujer","Estudios universitarios","No socio/a, pero simpatizante","Regularmente","Más de 20 años","Influencia del entorno social (amigos, compañeros, etc.)","4","2","2","2","2","2","5","4","4","3","3","3","2","3","3","4","4","3","4","4",""
"2026/03/14 5:01:07 p. m. CET","29","Hombre","Formación profesional","No socio/a, pero simpatizante","Ocasionalmente","Entre 11 y 20 años","Influencia del entorno social (amigos, compañeros, etc.)","1","1","2","1","2","1","3","2","2","3","2","2","4","4","1","4","1","2","4","4",""
"2026/03/14 5:24:48 p. m. CET","20","Mujer","Formación profesional","No socio/a, pero simpatizante","Regularmente","Entre 5 y 10 años","Tradición familiar","2","1","2","3","2","2","1","2","1","2","2","1","2","2","3","5","4","5","4","4",""
"2026/03/14 6:48:09 p. m. CET","26","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Siempre que juega","Entre 11 y 20 años","Tradición familiar","5","4","4","4","4","5","4","5","5","4","4","3","3","5","5","5","5","5","5","5",""
"2026/03/14 7:28:29 p. m. CET","53","Hombre","Educación secundaria","Socio/a o abonado/a","Regularmente","Menos de 5 años","Vinculación geográfica (ciudad o región)","4","2","3","3","2","2","2","2","3","2","2","3","4","2","2","3","2","2","2","4",""
"2026/03/14 7:28:48 p. m. CET","25","Hombre","Formación profesional","No socio/a, pero simpatizante","Siempre que juega","Entre 11 y 20 años","Tradición familiar","5","4","5","5","5","5","5","5","5","4","4","4","4","4","4","5","5","5","5","5",""
"2026/03/14 8:01:03 p. m. CET","53","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Ocasionalmente","Más de 20 años","Tradición familiar","4","4","4","3","3","3","4","4","5","4","3","4","4","5","4","4","5","","5","4",""
"2026/03/15 8:24:02 a. m. CET","24","Mujer","Formación profesional","No socio/a, pero simpatizante","Regularmente","Entre 11 y 20 años","Tradición familiar","4","2","5","4","3","4","5","2","1","2","2","2","3","1","1","5","4","5","5","5",""
"2026/03/15 8:44:45 a. m. CET","26","Hombre","Estudios de posgrado","Socio/a o abonado/a","Siempre que juega","Más de 20 años","Tradición familiar","5","5","5","5","5","5","5","3","3","2","2","3","1","3","3","5","5","5","5","5",""
"2026/03/15 9:49:50 a. m. CET","50","Hombre","Formación profesional","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Tradición familiar","4","1","","3","1","2","4","1","1","1","1","1","1","4","1","5","4","5","4","5",""
"2026/03/15 11:04:54 a. m. CET","20","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Regularmente","Entre 5 y 10 años","No recuerdo","4","2","3","3","3","4","5","3","3","2","3","3","3","3","1","5","4","5","5","2",""
"2026/03/15 11:07:03 a. m. CET","23","Hombre","Formación profesional","No socio/a, pero simpatizante","Regularmente","Más de 20 años","Tradición familiar","3","2","2","2","5","2","5","1","1","3","1","1","1","1","3","4","5","5","5","4",""
"2026/03/15 12:48:37 p. m. CET","25","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Siempre que juega","Entre 11 y 20 años","Tradición familiar","5","5","5","5","5","5","5","1","3","3","3","4","1","3","2","5","4","5","5","5",""
"2026/03/15 12:51:42 p. m. CET","24","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Ocasionalmente","Más de 20 años","Tradición familiar","4","3","3","3","4","3","3","1","2","4","3","3","3","4","3","5","5","4","4","5",""
"2026/03/15 3:46:23 p. m. CET","52","Hombre","Educación secundaria","Socio/a o abonado/a","Regularmente","Más de 20 años","Vinculación geográfica (ciudad o región)","4","2","3","3","2","2","2","2","3","2","2","3","4","2","2","3","2","2","3","2",""
"2026/03/15 5:34:24 p. m. CET","24","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Siempre que juega","Menos de 5 años","Identificación con los valores o la historia del club","4","2","5","4","4","4","5","5","5","5","5","5","5","4","4","5","5","5","5","5",""
"2026/03/15 5:52:48 p. m. CET","24","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Ocasionalmente","Entre 11 y 20 años","Influencia del entorno social (amigos, compañeros, etc.)","4","3","4","3","4","3","4","4","5","4","5","4","5","4","4","4","5","5","5","4",""
"2026/03/15 7:14:35 p. m. CET","25","Hombre","Formación profesional","No socio/a, pero simpatizante","Siempre que juega","Entre 11 y 20 años","Tradición familiar","5","4","5","5","5","5","5","5","5","4","4","4","4","4","4","5","5","5","5","5",""
"2026/03/15 7:36:02 p. m. CET","25","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Identificación con los valores o la historia del club","4","3","5","3","5","5","5","3","4","5","5","5","5","5","3","5","5","5","5","5",""
